"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\home\home.component.css", "CSS", 0, 0, 88, 5, 3, 96
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\home\home.component.html", "HTML", 0, 47, 0, 0, 1, 48
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\home\home.component.ts", "TypeScript", 17, 0, 0, 0, 4, 21
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\interfaces\Groups.ts", "TypeScript", 11, 0, 0, 0, 3, 14
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\interfaces\Notices.ts", "TypeScript", 41, 0, 0, 0, 9, 50
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\interfaces\Section.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\interfaces\Users.ts", "TypeScript", 15, 0, 0, 0, 2, 17
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\login\login.component.css", "CSS", 0, 0, 15, 1, 1, 17
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\login\login.component.html", "HTML", 0, 42, 0, 0, 2, 44
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\login\login.component.ts", "TypeScript", 34, 0, 0, 1, 5, 40
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\marked.pipe.ts", "TypeScript", 13, 0, 0, 1, 2, 16
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\material\material.module.ts", "TypeScript", 51, 0, 0, 0, 3, 54
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\mobile\mobile-login\mobile-login.component.css", "CSS", 0, 0, 20, 0, 1, 21
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\mobile\mobile-login\mobile-login.component.html", "HTML", 0, 36, 0, 0, 1, 37
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\mobile\mobile-login\mobile-login.component.ts", "TypeScript", 34, 0, 0, 1, 5, 40
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\new\new.component.css", "CSS", 0, 0, 14, 0, 1, 15
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\new\new.component.html", "HTML", 0, 127, 0, 1, 8, 136
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\new\new.component.ts", "TypeScript", 144, 0, 0, 6, 16, 166
